,City,Cloudiness,Country,Humidity,Latitude,Longitude,Temperature,Wind Speed
0,sorel,90.0,ca,73.0,46.04,46.04,0.0,1.21
1,nikolayevsk-na-amure,8.0,ru,100.0,53.14,53.14,-21.0,6.99
2,dikson,68.0,ru,96.0,73.51,73.51,-4.73,7.64
3,abalak,36.0,ne,22.0,15.45,15.45,25.48,4.71
4,castro,0.0,cl,84.0,-42.47,-42.47,8.15,3.49
5,paamiut,92.0,gl,96.0,61.99,61.99,1.23,8.81
6,port alfred,56.0,za,91.0,-33.59,-33.59,22.73,5.66
7,rikitea,44.0,pf,100.0,-23.12,-23.12,24.75,4.89
8,ushuaia,40.0,ar,81.0,-54.8,-54.8,6.0,12.9
9,xuanwu,,cn,,,,,
10,predivinsk,,ru,,,,,
11,vardo,,no,,,,,
12,avarua,75.0,ck,88.0,-21.21,-21.21,24.0,5.7
13,ca mau,,vn,,,,,
14,kapaa,,us,,,,,
15,mataura,,pf,,,,,
16,punta arenas,,cl,,,,,
17,cockburn town,,tc,,,,,
18,hermanus,,za,,,,,
19,matelica,,it,,,,,
20,busselton,,au,,,,,
21,narsaq,,gl,,,,,
22,sumbawa,,id,,,,,
23,talnakh,80.0,ru,89.0,69.49,69.49,-14.39,2.86
24,barentsburg,,sj,,,,,
25,atuona,,pf,,,,,
26,padang,,id,,,,,
27,chokurdakh,,ru,,,,,
28,norman wells,,ca,,,,,
29,dalmatovo,,ru,,,,,
30,bilibino,,ru,,,,,
31,sabang,92.0,id,100.0,5.89,5.89,25.97,5.39
32,saldanha,,za,,,,,
33,bluff,,nz,,,,,
34,albany,0.0,au,37.0,-35.02,-35.02,24.37,6.06
35,correntina,68.0,br,96.0,-13.34,-13.34,19.14,2.34
36,mount gambier,92.0,au,63.0,-37.83,-37.83,14.02,5.21
37,vestmannaeyjar,,is,,,,,
38,upernavik,,gl,,,,,
39,corum,,tr,,,,,
40,agidel,48.0,ru,95.0,55.91,55.91,-5.54,3.99
41,tabuk,0.0,sa,44.0,28.38,28.38,16.0,2.6
42,kruisfontein,,za,,,,,
43,maningrida,,au,,,,,
44,santa rosa,,ar,,,,,
45,meadow lake,0.0,ca,81.0,54.13,54.13,-6.49,3.26
46,dunedin,,nz,,,,,
47,yellowknife,75.0,ca,76.0,62.46,62.46,-21.0,2.6
48,tiksi,,ru,,,,,
49,georgetown,,sh,,,,,
50,naranjal,,py,,,,,
51,east london,75.0,za,88.0,-33.02,-33.02,23.0,5.7
52,airai,,pw,,,,,
53,tilichiki,,ru,,,,,
54,vanimo,,pg,,,,,
55,cabo san lucas,12.0,mx,100.0,22.89,22.89,23.15,3.91
56,ayr,,au,,,,,
57,kuchera,,in,,,,,
58,bengkulu,,id,,,,,
59,halalo,,wf,,,,,
60,henties bay,,na,,,,,
61,saint george,40.0,bm,73.0,32.38,32.38,21.0,4.6
62,broome,,au,,,,,
63,cape town,40.0,za,64.0,-33.93,-33.93,21.0,6.7
64,mar del plata,,ar,,,,,
65,khorramshahr,,ir,,,,,
66,labutta,,mm,,,,,
67,kutum,,sd,,,,,
68,puerto del rosario,,es,,,,,
69,bargal,,so,,,,,
70,jamestown,,sh,,,,,
71,saint-philippe,,re,,,,,
72,swellendam,0.0,za,47.0,-34.02,-34.02,26.0,1.5
73,naze,,jp,,,,,
74,chuy,,uy,,,,,
75,mahebourg,,mu,,,,,
76,barrow,90.0,us,84.0,71.29,71.29,-17.0,9.8
77,petropavlovsk-kamchatskiy,,ru,,,,,
78,esperance,,au,,,,,
79,umzimvubu,,za,,,,,
80,amurzet,,ru,,,,,
81,kodinsk,,ru,,,,,
82,avera,,pf,,,,,
83,kieta,56.0,pg,100.0,-6.22,-6.22,25.52,1.14
84,lima,0.0,pe,85.0,-12.04,-12.04,11.78,0.61
